station_code,station_name,lat,lon,elevation_m,road_density,impervious_pct,dist_to_water_km
MS1104403060000319,(市)前进一路上川路口,22.57118007860348,113.90008995469552,1.0,9.51,50.5,0.29
MS1104403050000137,(市)南山大道与登良路交叉口,22.540721694789013,113.9181638130031,9.0,9.05,80.2,0.33
MS1104403070000213,(市)龙西中路与盐龙大道交汇处,22.75103177856142,114.25588661241065,27.0,3.36,1.8,0.27
MS1104403030000251,(市)滨河上步立交桥,22.537985,114.091296,0.0,8.21,29.4,0.12
MS1104403060000323,(市)洪浪北地铁站,22.578833,113.904988,58.0,11.93,82.8,0.61
MS1104403040000615,(市)市民中心,22.545691,114.05466,51.0,13.98,56.9,0.38
MS1104403030000266,(市)罗湖火车站,22.533635,114.112678,10.0,5.79,85.8,0.35
9281292012,(市)固戍海滨新村文昌阁,22.5905,113.83835,1.0,7.06,96.1,0.54
9281192005,(市)龙博路,22.62797037826087,114.10927237391306,46.0,5.3,71.3,0.42
9281192017,(市)环观南路与观平路交汇处,22.705673908780923,114.07279441765539,54.0,6.36,38.9,0.69
9281192009,(市)新坡塘村新坡塘积水点,22.656176,114.209692,61.0,5.07,83.0,0.29
9281192014,(市)鹤坑桥洞,22.786953,114.329639,74.0,1.59,91.5,0.01
9281292007,(市)107国道新安段(裕安加油站),22.55254164883845,113.90816500450731,1.0,7.38,61.6,0.31
MS1104403030000319,(市)桂园片区,22.542227,114.102228,10.0,13.09,87.7,0.34
MS1104403060000429,(市)民福路与创新路交叉口,22.77931941488889,113.82386091368804,1.0,10.8,84.4,0.14
MS1104403070000209,(市)龙城大道与龙平东路交汇处,22.734070392016967,114.26268655089929,27.0,3.82,75.2,0.28
MS1104403050000209,(市)深圳湾口岸,22.50626,113.9446,5.0,6.18,47.2,0.66
MS1104403040000543,(市)香梅莲花路口,22.559401296538805,114.04793087126708,51.0,1.59,1.0,0.39
MS1104403070000270,(市)长龙地铁站C2出入口,22.610528,114.109316,46.0,4.13,91.1,0.62
MS1104403070000228,(市)爱南路与深汕公路交汇处,22.709133830928806,114.31382413715897,72.0,7.58,61.4,0.63
MS1104403060000361,(市)园岭商场,22.563589,114.098682,11.0,12.12,89.8,0.14
MS1104403050000194,(市)深南大道高新园地铁 AD 口,22.5420797706313,113.9753640727562,-2.0,4.99,60.1,0.46
9281192006,(市)五和大道四季花城,22.65976725256875,114.05975735653944,76.0,7.41,61.4,0.83
9281192015,(市)安良社区沿河一路疏港铁路桥洞,22.73162335,114.107919,42.0,3.22,42.8,0.41
9281292022,(市)南山大道南行亿利达村段,22.540721694789013,113.9181638130031,9.0,9.05,80.2,0.33
9281292014,(市)G107国道南行固戍大门,22.55254164883845,113.90816500450731,1.0,7.38,61.6,0.31
9281192021,(市)东环一路和平路交汇处,22.65040479515617,114.03284713758192,70.0,7.62,92.1,0.33
9281292017,(市)圳美同富裕工业区,22.795355,113.948633,31.0,6.72,75.2,0.75
9281192018,(市)龙华大道库坑天桥段,22.669745856798677,114.03752701836405,56.0,8.96,81.1,0.12
9281292009,(市)帝堂路（锦程路以西段）,22.70987723506993,113.7784856087664,-1.0,5.04,87.2,0.11
9281292001,(市)滨河皇岗立交桥洞,22.531649,114.068077,0.0,16.08,42.9,0.37
MS1104403090000122,(市)龙华壹方成,22.65104,114.0232,70.0,16.85,90.3,0.92
MS1104403060000338,(市)东风幼儿园,22.7753,113.84376,11.0,9.17,92.8,0.08
MS1104403090000103,(市)布龙路与五和大道交汇处,22.646750702555874,114.02665721385576,70.0,13.4,94.0,0.84
MS1104403090000084,(市)观光路与福前路交汇处,22.733179257314486,114.01274963079653,39.0,5.1,62.7,1.3
MS1104403040000596,(市)侨香路香梅社区,22.55158384619422,114.00624803762132,34.0,10.33,62.6,0.88
MS1104403050000213,(市)前湾公园地铁站 A 出入口,22.518201,113.884684,0.0,5.82,34.7,0.37
MS1104403050000118,(市)月亮湾大道与前湾三路交叉口,22.511993391395155,113.8903078293519,281.0,9.22,40.3,0.2
MS1104403050000156,(市)滨海大道与南山大道交叉口,22.579823080041088,114.10123773351275,18.0,8.88,39.6,0.08
MS1104403060000380,(市)北环路与爱群路路口,22.79634568700108,114.39897783430258,21.0,8.22,68.5,0.7
