lat,lon,elevation_m
22.53,114.14,24.0
22.56,114.14,12.0
22.59,114.14,60.0
22.62,114.14,64.0
22.65,114.14,57.0
22.68,114.14,62.0
22.71,114.14,58.0
22.74,114.14,55.0
22.77,114.14,111.0
22.8,114.14,32.0
22.83,114.14,54.0
22.86,114.14,54.0
22.44,114.17,61.0
22.47,114.17,217.0
22.5,114.17,72.0
22.53,114.17,22.0
22.56,114.17,31.0
22.59,114.17,90.0
22.62,114.17,78.0
22.65,114.17,83.0
22.68,114.17,49.0
22.71,114.17,55.0
22.74,114.17,70.0
22.77,114.17,89.0
22.8,114.17,42.0
22.83,114.17,36.0
22.86,114.17,49.0
22.44,114.2,0.0
22.47,114.2,21.0
22.5,114.2,332.0
22.53,114.2,6.0
22.56,114.2,102.0
22.59,114.2,196.0
22.62,114.2,172.0
22.65,114.2,61.0
22.68,114.2,53.0
22.71,114.2,66.0
22.74,114.2,56.0
22.77,114.2,115.0
22.8,114.2,46.0
22.83,114.2,49.0
22.86,114.2,84.0
22.44,114.23,0.0
22.47,114.23,0.0
22.5,114.23,218.0
22.53,114.23,46.0
22.56,114.23,8.0
22.59,114.23,215.0
22.62,114.23,139.0
22.65,114.23,60.0
22.68,114.23,43.0
22.71,114.23,32.0
22.74,114.23,56.0
22.77,114.23,91.0
22.8,114.23,105.0
22.83,114.23,248.0
22.86,114.23,125.0
22.44,114.26,0.0
22.47,114.26,6.0
22.5,114.26,114.0
22.53,114.26,84.0
22.56,114.26,0.0
22.59,114.26,4.0
22.62,114.26,506.0
22.65,114.26,306.0
22.68,114.26,133.0
22.71,114.26,33.0
22.74,114.26,27.0
22.77,114.26,93.0
22.8,114.26,101.0
22.83,114.26,69.0
22.86,114.26,74.0
22.44,114.29,51.0
22.47,114.29,0.0
22.5,114.29,90.0
22.53,114.29,0.0
22.56,114.29,0.0
22.59,114.29,53.0
22.62,114.29,474.0
22.65,114.29,137.0
22.68,114.29,62.0
22.71,114.29,83.0
22.74,114.29,25.0
22.77,114.29,37.0
22.8,114.29,112.0
22.83,114.29,70.0
22.86,114.29,204.0
22.44,114.32,181.0
22.47,114.32,195.0
22.5,114.32,160.0
22.53,114.32,4.0
22.56,114.32,0.0
22.59,114.32,0.0
22.62,114.32,170.0
22.65,114.32,264.0
22.68,114.32,42.0
22.71,114.32,72.0
