station_code,station_name,matched_road,lat,lon,method
MS110440309000007X,(市)银星科技园,Tianditu:(市)银星科技园,22.7323,114.04215,tianditu
MS1104403040000600,(市)侨香路香安社区,侨香路,22.55158384619422,114.00624803762132,osm_road
MS1104403070000323,(市)京南路,京南路,22.602818284523806,114.12130894517196,osm_road
MS1104403110000616,(市)同观路与汇融路交叉口,同观路,22.734039598507852,113.91441943299901,osm_road
MS110440311000064X,(市)光明区高级中学,Tianditu:(市)光明区高级中学,22.77092,113.901398,tianditu
MS1104403030000323,(市)晒布路与东门中路交汇处,东门中路,22.551568716163253,114.1183832504732,osm_road
MS1104403070000232,(市)园新路与乐园路交汇处,园新路,22.714932425,114.3001758,osm_road
MS1104403110000620,(市)松白路松茂御城段,松白路,22.731110627923336,113.894856941127,osm_road
MS1104403060000452,(市)宝源路固戍海滨公园,宝源路,22.58668431255461,113.84584894450396,osm_road
MS1104403060000505,(市)海天路地下隧道,海天路,22.549962987088094,113.87889692546018,osm_road
MS1104403040000558,(市)信托花园,Tianditu:(市)信托花园,22.52878,114.04754,tianditu
MS1104403100000047,(市)群代路金泰航科技,Tianditu:群代路金泰航科技,22.685306,114.34945,tianditu
MS1104403050000141,(市)南新路北头豪苑,南新路,22.535707366852186,113.92452459612443,osm_road
MS1104403030000228,(市)红岗公园,Tianditu:深圳(市)红岗公园,22.57808,114.10931,tianditu
MS1104403070000194,(市)龙翔大道与龙城大道交汇处,龙翔大道,22.708452173199664,114.22855732448205,osm_road
MS1104403090000137,(市)昌茂二路,Tianditu:深圳(市)昌茂二路,22.559721,114.111073,tianditu
MS1104403060000342,(市)海乐41区,Tianditu:(市)海乐41区,22.558727,113.899699,tianditu
MS110440306000029X,(市)辛养旧村辛居路,Tianditu:(市)辛养旧村辛居路,22.741359,113.802812,tianditu
