lat,lon,builtup_pct,n_px
22.4512,114.4229,0.0,2916
22.4512,114.4274,0.0,2862
22.4512,114.4319,0.0,2916
22.4512,114.4364,0.0,2916
22.4512,114.4409,0.0,2916
22.4512,114.4454,0.0,2916
22.4512,114.4499,0.0,2916
22.4512,114.4544,0.0,2916
22.4512,114.4589,0.0,2916
22.4512,114.4634,0.0,2916
22.4512,114.4678,0.0,2916
22.4512,114.4723,0.0,2862
22.4512,114.4768,0.0,2916
22.4512,114.4813,0.0,2916
22.4512,114.4858,0.0,2916
22.4512,114.4903,0.0,2916
22.4512,114.4948,0.0,2916
22.4512,114.4993,0.0,2916
22.4512,114.5038,0.0,2916
22.4512,114.5083,0.0,2916
22.4512,114.5128,0.0,2916
22.4512,114.5173,0.0,2862
22.4512,114.5217,0.0,2916
22.4512,114.5262,0.0,2916
22.4512,114.5307,0.0,2916
22.4512,114.5352,0.0,2916
22.4512,114.5397,0.0,2916
22.4512,114.5442,0.0,2916
22.4512,114.5487,0.0,2916
22.4512,114.5532,0.0,2916
22.4512,114.5577,0.0,2916
22.4512,114.5622,0.0,2862
22.4512,114.5667,0.0,2916
22.4512,114.5711,0.0,2916
22.4512,114.5756,0.0,2916
22.4512,114.5801,0.0,2916
22.4512,114.5846,0.0,2916
22.4512,114.5891,0.0,2916
22.4512,114.5936,0.0,2916
22.4512,114.5981,0.0,2916
22.4512,114.6026,0.0,2916
22.4512,114.6071,0.0,2862
22.4512,114.6116,0.0,2916
22.4512,114.6161,0.0,2916
22.4512,114.6206,0.0,2916
22.4512,114.625,0.1,2916
22.4512,114.6295,0.0,2916
22.4512,114.634,0.0,2916
22.4512,114.6385,0.0,2916
22.4512,114.643,1.3,2916
22.4512,114.6475,0.0,2916
22.4512,114.652,0.0,108
22.4557,113.7222,0.0,2916
22.4557,113.7267,0.0,2916
22.4557,113.7312,0.0,2916
22.4557,113.7357,0.0,2916
22.4557,113.7402,0.0,2916
22.4557,113.7447,0.0,2916
22.4557,113.7492,0.0,2916
22.4557,113.7537,0.0,2916
22.4557,113.7582,0.0,2916
22.4557,113.7627,0.0,2862
22.4557,113.7672,0.0,2916
22.4557,113.7717,0.0,2916
22.4557,113.7761,0.0,2916
22.4557,113.7806,0.0,2916
22.4557,113.7851,0.0,2916
22.4557,113.7896,0.0,2916
22.4557,113.7941,0.0,2916
22.4557,113.7986,0.0,2916
22.4557,113.8031,0.0,2916
22.4557,113.8076,0.0,2862
22.4557,113.8121,0.0,2916
22.4557,113.8166,0.0,2916
22.4557,113.8211,0.0,2916
22.4557,113.8256,0.0,2916
22.4557,113.83,0.0,2916
22.4557,113.8345,0.0,2916
22.4557,113.839,0.0,2916
22.4557,113.8435,0.0,2916
22.4557,113.848,0.0,2916
22.4557,113.8525,0.0,2862
22.4557,113.857,0.0,2916
22.4557,113.8615,0.0,2916
22.4557,113.866,0.0,2916
22.4557,113.8705,0.0,2916
22.4557,113.875,0.0,2916
22.4557,113.8795,0.3,2916
22.4557,113.8839,8.1,2916
22.4557,113.8884,92.6,2916
22.4557,113.8929,80.1,2916
22.4557,113.8974,3.0,2862
22.4557,113.9019,0.0,2916
22.4557,113.9064,0.0,2916
22.4557,113.9109,0.0,2916
22.4557,113.9154,0.0,2916
22.4557,113.9199,0.0,2916
22.4557,113.9244,0.0,2916
22.4557,113.9289,0.0,2916
22.4557,113.9333,0.0,2916
22.4557,113.9378,0.0,2916
22.4557,113.9423,0.0,2862
22.4557,113.9468,0.0,2916
22.4557,113.9513,0.0,2916
22.4557,113.9558,0.0,2916
22.4557,113.9603,0.0,2916
22.4557,113.9648,0.0,2916
22.4557,113.9693,2.6,2916
22.4557,113.9738,14.0,2916
22.4557,113.9783,6.3,2916
22.4557,113.9828,20.4,2916
22.4557,113.9872,73.5,2862
22.4557,113.9917,72.6,2916
22.4557,113.9962,60.0,2916
22.4557,114.0007,46.9,2970
22.4557,114.0052,66.9,2916
22.4557,114.0097,63.8,2916
22.4557,114.0142,8.6,2916
22.4557,114.0187,25.1,2916
22.4557,114.0232,85.5,2916
22.4557,114.0277,65.0,2916
22.4557,114.0322,33.8,2862
22.4557,114.0367,2.8,2916
22.4557,114.0411,2.1,2916
